Feature,Importance
the,0.020174308342516708
down,0.017423226292966495
and,0.01124447052057495
up,0.0109058628303452
long,0.00944498974404441
lower,0.008912693169585836
transaction,0.008667671032223623
fell,0.007509408785772918
respectively,0.007095986448513287
an,0.00703790237480306
positive,0.006718024832362343
position,0.006716142562444871
is,0.006704333902647459
are,0.006594284076770364
tsla,0.006030275393086811
rose,0.005930322905662121
will,0.005711473129137218
with,0.005690350135366297
be,0.005642430726120278
mn,0.005637564015592227
buy,0.005583244630478686
increase,0.005502867091592334
hit,0.005463291284710777
of,0.005398668506724048
loss,0.005371688357199658
model,0.005167719515325763
includes,0.0050840330401699125
grew,0.005079651944147743
to,0.0050469362419551834
we,0.004913685391762232
profit,0.00490871485970755
services,0.0048807592024738625
not,0.004873825091757732
our,0.004608280364209038
signed,0.0045403202552565395
decreased,0.0045057990546332185
compared,0.004484787488069157
awarded,0.004094685145008429
increased,0.00403341385754693
higher,0.004016187106148902
value,0.003933788380076196
won,0.0038924546235340318
2008,0.003861964760771056
due,0.0037828214672030918
finland,0.0036875458362867794
short,0.003635566547443793
as,0.0036325847110607497
company,0.003556424196140913
about,0.0034908511049881424
part,0.0034590821290509596
